छूमंतर,,छूमंतर,
हरसिंगार,,हरसिंगार,
जलतरण,,जलतरण,
शाध्वल,,शाध्वल,
इत्तफाक,,इत्तफाक,
वाद्यवृंद,,वाद्यवृंद,
निर्णयन,,निर्णयन,
बिहार,,बिहार,
वैभव,,वैभव,
फिल्माना,,फिल्म,ाना
मृत्युदण्ड,,मृत्युदण्ड,
गिनीज,,गिनीज,
अकड़कर,,अकड़,कर
माँगपत्र,,माँगपत्र,
पुण्यतिथि,,पुण्यतिथि,
प्रज्ज्वलित,,प्रज्ज्वल,ित
संग्रही,,संग्रह,ी
ब्याधि,,ब्याधि,
बाँस,,बाँस,
बचाएगा,,बचाएगा,
अवसान,,अवसान,
गोअल्,,गोअल्,
बिगाड़ेंगे,,बिगाड़ेंगे,
झारी,,झारी,
घृणास्पद,,घृणास्पद,
बैंडमिंटन,,बैंडमिंटन,
दलहन,,दलहन,
टाइपिंग,,टाइपिंग,
म्लानि,,म्लानि,
मवेशी,,मवेशी,
छंदमुक्‍त,,छंदमुक्‍त,
वर्षभर,,वर्षभर,
सुलगते,,सुलगते,
पुत्रवधु,,पुत्रवधु,
तात्कालिक,,तात्काल,िक
हॉर्न,,हॉर्न,
रुपहला,,रुपहला,
अभ्यावेदन,,अभ्यावेदन,
कार्यक्षमता,,कार्यक्षमता,
राशियों,,राशि,यों
छाए,,छाए,
विशेषतापूर्ण,,विशेषता,पूर्ण
लड़ाइयों,,लड़ा,इयों
कौवे,,कौवे,
खिलते,,खिलते,
रहोगी,,रहोगी,
अनिपुणता,अ,निपुण,ता
अलख,,अलख,
नामौजूदगी,ना,मौजूदगी,
नुक्ताचीनी,,नुक्ताचीनी,
सूचियाँ,,सूचि,याँ
अनिश्चय,अ,निश्चय,
सोंपेंगे,,सोंपेंगे,
द्रवदाह,,द्रवदाह,
यज्र,,यज्र,
कस्वरूप,क,स्वरूप,
ढूँढनेवाला,,ढूँढने,वाला
किण्विक,,किण्विक,
भाषान्तर,,भाषान्तर,
बुधग्रह,,बुधग्रह,
अधिवासी,,अधिवासी,
परिच्छेदों,,परिच्छेद,ों
गढकर,,गढ,कर
ग्रहणी,,ग्रहणी,
खोटापन,,खोटा,पन
याकूत,,याकूत,
पाश,,पाश,
कार्यकक्ष,,कार्यकक्ष,
टिड्डी,,टिड्डी,
विस्मय,,विस्मय,
शब्दावली,,शब्दावली,
रिसियाऊंगा,,रिसियाऊंगा,
असाम्यिक,अ,साम्य,िक
फ्रिकास,,फ्रिकास,
क्रुध,,क्रुध,
अकालप्रौढ़ता,अ,कालप्रौढ़,ता
शुरूआत,,शुरूआत,
यैंकी,,यैंकी,
सूंघती,,सूंघ,ती
मार्तण्ड,,मार्तण्ड,
समझूंगा,,समझूंगा,
एक्,,एक्,
लापरबाही,,लापरबाह,ी
अल्पज्ञ,,अल्पज्ञ,
कसूरवार,,कसूर,वार
रेज़िडेंट,,रेज़िडेंट,
नाट्य,,नाट्य,
तिर्यक,,तिर्यक,
अनुप्रस्थ,,अनुप्रस्थ,
झाड़कर,,झाड़,कर
काढना,,काढना,
अकीक,,अकीक,
एमिनो,,एमिनो,
हांडी,,हांडी,
प्रारंभी,,प्रारंभ,ी
गढ़कर,,गढ़,कर
इंसान,,इंसान,
यूथचारी,,यूथचार,ी
व्ययस्थापन,,व्ययस्थापन,
नरघाती,,नरघात,ी
कानूनपेशा,,कानूनपेशा,
प्यास,,प्यास,
पटों,,पट,ों
शहसूमा,,शहसूमा,
काव्यसौंदर्य,,काव्यसौंदर्य,
कठिनाईभरा,,कठिनाईभरा,
स्टेप,,स्टेप,
अस्पर्शी,अ,स्पर्श,ी
मुट्ठी,,मुट्ठी,
चारसौ,,चारसौ,
आत्मदोषारोपण,,आत्मदोषारोपण,
चमकाए,,चमक,ाए
कैलिक्स्,,कैलिक्स्,
सप्ताहन्त,,सप्ताहन्त,
सोडा,,सोडा,
वृक्क,,वृक्क,
उण्डेलने,,उण्डेलन,े
मानवतावादी,,मानवतावाद,ी
साधा,,साधा,
तर्कातीत,,तर्कातीत,
समझोता,,समझोता,
ट्राइआड,,ट्राइआड,
दुनियादार,,दुनियादार,
दीवाल,,दीवाल,
नुस्खे,,नुस्खे,
होमबलि,,होमबलि,
आव,,आव,
हाजरी,,हाजरी,
खींच,,खींच,
कटेगा,,कट,ेगा
रूढीमुक्त,,रूढीमुक्त,
गुणवाचक,,गुणवाचक,
मतप्रकाशनाधिकार,,मतप्रकाशनाधिकार,
शंशेरी,,शंशेरी,
दाढिय़ां,,दाढि,य़ां
सिरिगयुस,,सिरिगयुस,
गहनों,,गहनों,
जकड़ा,,जकड़,ा
बेतुका,,बेतुक,ा
ममौसी,,ममौसी,
तई,,तई,
बंदरों,,बंदर,ों
बुलडग,,बुलडग,
संकल्पना,,संकल्प,ना
महारोगों,,महारोग,ों
निर्लज्ज़ता,,निर्लज्ज़,ता
प्रेमभाव,,प्रेमभाव,
हास्यकर,,हास्य,कर
स्क्वश,,स्क्वश,
अल्पव्यय,,अल्पव्यय,
नहींं,,नहींं,
पिप,,पिप,
अंगड़ाई,,अंगड़ाई,
बुदबुदाहट,,बुदबुदाहट,
दूसरी,,दूसरी,
छायाचित्रों,,छायाचित्र,ों
हाते,,हाते,
हसर्हत्तीकोन,,हसर्हत्तीकोन,
अनुग्राही,,अनुग्राह,ी
सुगन्धद्रव्य,,सुगन्धद्रव्य,
जनज्ञापित,,जनज्ञापित,
जायेगी,,जा,येगी
सताईस,,सताईस,
स्वाधीन,,स्वाधीन,
माँगो,,माँग,ो
भाँड,,भाँड,
आत्मरक्षात्मक,,आत्मरक्षात्मक,
आकाशी,,आकाश,ी
पेन्टाज़ोसीन,,पेन्टाज़ोसीन,
मृदु,,मृदु,
अर्द्धमासिक,,अर्द्धमासिक,
प्रौद्,,प्रौद्,
अशुध्द,अ,शुध्द,
गोलान,,गोलान,
सुपथ,स,उपथ,
झाड़ू,,झाड़ू,
अक्रमतः,,अक्रमतः,
पररखकर,,पररख,कर
सिंड्रोम,,सिंड्रोम,
बिल्व,,बिल्व,
अरब,,अरब,
चंडीगढ़,,चंडीगढ़,
सरग़ना,,सरग़ना,
शैलोद्यान,,शैलोद्यान,
महोगी,,महोगी,
प्रलोभित,प,्रलोभ,ित
लोककथाओं,,लोककथा,ओं
तत्काल,,तत्काल,
छार्ज,,छार्ज,
झुरामुट,,झुरामुट,
अर्थवाद,,अर्थवाद,
बलवान,,बलवान,
योराह,,योराह,
मार्गों,,मार्गों,
निचोड़ना,,निचोड़,ना
छकड़ों,,छकड़,ों
गीतों,,गीत,ों
लिमरिक,,लिमरिक,
कसकुट,,कसकुट,
काढ़ा,,काढ़ा,
मॆहसूस,,मॆहसूस,
चुहियादानी,,चुहियादानी,
मैपिल्,,मैपिल्,
सेंसर,,सेंसर,
कछुए,,कछुए,
किंकर,,किंकर,
लटें,,लट,ें
चरित्रों,,चरित्र,ों
वेनिसवासी,,वेनिसवासी,
नौंवी,,नौं,वी
अनाम,,अनाम,
फाड़ना,,फाड़,ना
पीकर,,पी,कर
अंगुठी,,अंगुठी,
डबल्स,,डबल्स,
अंतर्गम,,अंतर्गम,
जनाकीर्ण,,जनाकीर्ण,
त्रिलोक,,त्रिलोक,
जैवतकनीकी,,जैवतकनीक,ी
चरमपंथी,,चरमपंथी,
बहुप्रयोजन,बहु,प्रयोजन,
पदारुढ़,,पदारुढ़,
शतपतियों,,शतपति,यों
रोमानिआ,,रोमानिआ,
लोटेंगे,,लोट,ेंगे
पाबंदी,,पाबंद,ी
रूक्षांश,,रूक्षांश,
बेरोज़गारी,,बेरोज़गार,ी
फेसबुक,,फेसबुक,
हेतुक,,हेतुक,
पिल्हा,,पिल्हा,
फलवती,,फलवत,ी
कैंची,,कैंची,
सरमाया,,सरमाया,
चेचक,,चेचक,
नीडर,,नीडर,
लम्बर,,लम्बर,
हस्तांतरणीय,,हस्तांतरण,ीय
तंत्रिकाजाल,,तंत्रिकाजाल,
टोले,,टोल,े
झगड़ालू,,झगड़ा,लू
पकड़ते,,पकड़,ते
पृष्ठीय,,पृष्ठ,ीय
र्ंग,,र्ंग,
जालीनुमा,,जालीनुमा,
जंदर,,जंदर,
चुलबुला,,चुलबुल,ा
समधर्मी,,समधर्म,ी
कोमल,,कोमल,
प्रिकलबैक,,प्रिकलबैक,
चद्दरवाला,,चद्दरवाला,
इकट्‌ठे,,इकट्‌ठे,
सरगम,,सरगम,
सांसर्गिक,,सांसर्ग,िक
कामन्स,,कामन्स,
संवादरहित,,संवादरहित,
दैववाद,,दैववाद,
मिचलाता,,मिचला,ता
किशोन,,किशोन,
पहुंचकर,,पहुंच,कर
अम्सी,,अम्सी,
कुढ़ाना,,कुढ़ा,ना
सगुण,स,गुण,
ईगल,,ईगल,
ऊषण,,ऊषण,
खरीदें,,खरीद,ें
मानकर,,मान,कर
ग्रामसेवक,,ग्रामसेवक,
दंडस्वरूप,,दंडस्वरूप,
रामघड़ी,,रामघड़ी,
थपथप,,थपथप,
भाफ़,,भाफ़,
जड़के,,जड़के,
शतपाद,,शतपाद,
सुरीले,,सुरीले,
प्रायश्चित्,,प्रायश्चित्,
दूकान,,दूकान,
खतना,,खतना,
रुकने,,रुक,ने
चरणोंवाला,,चरणोंवाला,
कुलपक्षपात,,कुलपक्षपात,
सालों,,साल,ों
गर्जन,,गर्जन,
रेयरबिट,,रेयरबिट,
इसतेमाल,,इसतेमाल,
दुबक,,दुबक,
कोसने,,कोस,ने
सौदागरों,,सौदागर,ों
कड़कपन,,कड़क,पन
सिध्द,,सिध्द,
गोलाकार,,गोलाकार,
लादते,,लाद,ते
बजाएंगे,,बजा,एंगे
ख़यालों,,ख़याल,ों
परिपट्र,,परिपट्र,
शौर्टहैण्ड,,शौर्टहैण्ड,
सराही,,सराह,ी
भेंडों,,भेंड,ों
उडान,,उडान,
तूतुया,,तूतुया,
उपसभापति,,उपसभापति,
क्षेट्ररक्षण,,क्षेट्ररक्षण,
दलपति,,दलपति,
अतिकालिक,,अतिकाल,िक
उड़न,,उड़न,
ज्योतिमय,,ज्योतिमय,
गेस्ट,,गेस्ट,
तीक्षणदृष्टि,,तीक्षणदृष्टि,
अंगुलबेढ़ा,,अंगुलबेढ़ा,
हथकड़ियाँ,,हथकड़ि,याँ
व्यायामशाला,,व्यायामशाला,
सुर्योदय,,सुर्योदय,
ऐन,,ऐन,
भूस्थिर,,भूस्थिर,
क्युम्युलोनिम्बस,,क्युम्युलोनिम्बस,
संकरा,,संकरा,
ओ,,ओ,
अनुघोगी,,अनुघोग,ी
इंटरचेंज,,इंटरचेंज,
भीगना,,भीग,ना
अविचारी,,अविचार,ी
अतिशुष्क,,अतिशुष्क,
रिटीवल,,रिटीवल,
डरावन्,,डरावन्,
वरन्त,,वरन्त,
रहस्यों,,रहस्य,ों
आचरण,,आचरण,
पकवान,,पकवान,
नवयुवती,,नवयुवती,
अवकलन्,,अवकलन्,
धुंधला,,धुंधला,
संकोचपूर्वक,,संकोचपूर्वक,
मल्कीएल,,मल्कीएल,
समानवर्तनी,,समानवर्तनी,
मुल्ला,,मुल्ला,
उडा,,उड,ा
बाइबल,,बाइबल,
अचम्भित,,अचम्भा,ित
टुकड़ो,,टुकड़ा,ो
द्वीपसमूह,,द्वीपसमूह,
सुर्खी,,सुर्खी,
भंड़ार,,भंड़ार,
अर्धस्वरक,,अर्धस्वरक,
इसहारियों,,इसहारि,यों
अबीएजेर,,अबीएजेर,
यथार्थमापी,,यथार्थमाप,ी
घालमेल,,घालमेल,
मिलापवाला,,मिलापवाला,
वेताल,,वेताल,
बौक्सर,,बौक्सर,
विमोचक,,विमोचक,
अमूर्त,,अमूर्त,
अभिभावकों,,अभिभावक,ों
उत्‍तीर्ण,,उत्‍तीर्ण,
समेंट,,समेंट,
उबालती,,उबाल,ती
ठूँसकर,,ठूँस,कर
दक्षिणीई,,दक्षिण,ीई
उड़ाके,,उड़ाके,
सुकाल,,सुकाल,
बढ़ते,,बढ़,ते
शैलीई,,शैल,ीई
भारतीय,,भारत,ीय
अपूर्वानुमेयता,अ,पूर्वानुमेय,ता
पत्थरवाह,,पत्थरवाह,
स्थायी,,स्थायी,
सम्मित्,,सम्मित्,
अरनी,,अरनी,
अभिशस्त,,अभिशस्त,
क्लेशरहित,,क्लेशरहित,
अनिद्रा,,अनिद्रा,
साने,,साने,
चिठ्ठी,,चिठ्ठी,
बिछी,,बिछी,
पुरुषों,,पुरुष,ों
परिश्र्मों,,परिश्र्म,ों
प्रापित,,प्रापित,
कार्यानुभव,,कार्यानुभव,
गाड़ना,,गाड़,ना
बाणाग्र,,बाणाग्र,
सौसेज,,सौसेज,
भयावह,,भयावह,
सम्बन्धो,,सम्बन्ध,ो
कहूं,,कह,ूं
खरीदा,,खरीद,ा
सीधासादा,,सीधासादा,
गज़,,गज़,
क्रियापद,,क्रियापद,
निकली,,निकल,ी
वर्गवत्,,वर्गवत्,
दुरुस्ती,,दुरुस्त,ी
इदूमिया,,इदूमिया,
नहूं,,नहूं,
एड्स,,एड्स,
ऑलस्पाइस,,ऑलस्पाइस,
औपचारीकरण,,औपचारीकरण,
किश्ती,,किश्ती,
अविनाशिता,,अविनाश,िता
संबधित,,संबध,ित
शिराकार,,शिराकार,
मुन्शी,,मुन्शी,
फ़ानूस,,फ़ानूस,
छवि,,छवि,
संग्राहकता,,संग्राहक,ता
शाला,,शाला,
समुच्चयबोधक,,समुच्चयबोधक,
संकलित,,संकलित,
लूद,,लूद,
बिल्लौर,,बिल्लौर,
कटन,,कटन,
अंड,,अंड,
पैरोल,,पैरोल,
झगड़ना,,झगड़,ना
छुपा,,छुप,ा
त्रिपट्ट,,त्रिपट्ट,
सुधारें,,सुधार,ें
वास्तुशैली,,वास्तुशैली,
बसाया,,बसा,या
बूम,,बूम,
निर्भयता,,निर्भय,ता
दयाशीलता,,दयाशील,ता
वाक्यखंड,,वाक्यखंड,
अपरिहार्य,,अपरिहार्य,
भारतेंदु,,भारतेंदु,
खोली,,खोल,ी
बुलेटिन,,बुलेटिन,
पुष्पमय,,पुष्पमय,
उल्लंघनन,,उल्लंघनन,
योसादाक,,योसादाक,
संसदीय,,संसद,ीय
बूढा,,बूढा,
सूदखोरी,,सूदखोर,ी
अधमुआ,,अधमुआ,
पल्टन,,पल्टन,
रेँगा,,रेँग,ा
चमेली,,चमेली,
पकेगा,,पकेगा,
भावानुवाद,,भावानुवाद,
मक्खनयुक्त,,मक्खनयुक्त,
ट्विटर,,ट्विटर,
अश्वशावक,,अश्वशावक,
अपावर्तक,,अपावर्तक,
सत्तरव्,,सत्तरव्,
चौतरफा,,चौतरफ,ा
मिडल,,मिडल,
उत्साहअ,,उत्साहअ,
अंतःकरण,,अंतःकरण,
खाबड़,,खाबड़,
लपट,,लपट,
पूर्वाग्रही,,पूर्वाग्रह,ी
गिलाफ़,,गिलाफ़,
लेखनी,,लेखन,ी
आमवात,,आमवात,
नवोन्मेष,,नवोन्मेष,
कन्नी,,कन्नी,
मारें,,मार,ें
शिवाले,,शिवाल,े
रह,,रह,
चपर,,चपर,
क्षन,,क्षन,
चुग,,चुग,
त्योहारों,,त्योहार,ों
उद्ग्रीव,,उद्ग्रीव,
पढ,,पढ,
छुतिहर,,छुतिहर,
प्रतिनिषेध,,प्रतिनिषेध,
उगने,,उग,ने
ढालअ,,ढालअ,
लगड़े,,लगड़े,
अनछने,,अनछन,े
भावुकतावादी,,भावुकतावाद,ी
सर्वज्ञानी,,सर्वज्ञान,ी
सामंत,,सामंत,
पुत्रियो,,पुत्रि,यो
प्रश्वसन,,प्रश्वसन,
बॉबल,,बॉबल,
घुमाओ,,घुम,ाओ
राजनीतिक,,राजनीति,क
बाइलोरूसी,,बाइलोरूसी,
विधिवत्,,विधिवत्,
ऐक्टिव,,ऐक्टिव,
सेती,,सेती,
उपाधिरहित,,उपाधिरहित,
उन्मुक्ति,,उन्मुक्ति,
द्रष्टाओं,,द्रष्टा,ओं
मॅुंद,,मॅुंद,
छैनीई,,छैनी,ई
धड़,,धड़,
अखंडित,,अखंड,ित
युनिट,,युनिट,
फरफराहट,,फरफर,ाहट
तीव्र,,तीव्र,
मसीहा,,मसीहा,
शीलता,,शील,ता
अपनी,,अपनी,
माला,,माला,
थैलीई,,थैली,ई
डेट,,डेट,
पुलिसमैन,,पुलिसमैन,
विस्टीरिया,,विस्टीरिया,
पैंतीसवर्ष,,पैंतीसवर्ष,
खएगा,,खएगा,
उल्लेख,,उल्लेख,
इंतकाम,,इंतकाम,
अब,,अब,
बलात्कारियों,,बलात्कार,ियों
धूपअ,,धूप,अ
वल्गेट,,वल्गेट,
दौड़,,दौड़,
बिलखतमाँ,,बिलखतमाँ,
शीर्षक,,शीर्षक,
निरुत्साह,,निरुत्साह,
आदमकद,,आदमकद,
छड़,,छड़,
बेत्रहोब,,बेत्रहोब,
तिजोरी,,तिजोरी,
पहिनाएगा,,पहिनाए,गा
क्रियाविधि,,क्रियाविधि,
तकरार,,तकरार,
रँगना,,रँग,ना
पारदर्शीयता,,पारदर्शी,यता
आज्ञार्थक,,आज्ञार्थक,
मरूमक्षिका,,मरूमक्षिका,
क्षतिपरक,,क्षतिपरक,
गठ,,गठ,
एकतालीस,,एकतालीस,
करेंगी,,कर,ेंगी
मेहरान,,मेहरान,
श्यामपट,,श्यामपट,
आजन्म,,आजन्म,
अठखेलियां,,अठखेली,ियां
तंदूर,,तंदूर,
हेलबोन,,हेलबोन,
धमधमाना,,धमधमा,ना
हादसा,,हादसा,
प्रासंगिकता,,प्रासंगिक,ता
कान्ट्रेक्ट,,कान्ट्रेक्ट,
बांटता,,बांटता,
लुटवाया,,लुट,वाया
चुकाना,,चुका,ना
प्रखरबुद्धि,,प्रखरबुद्धि,
अत्याचारी,,अत्याचार,ी
अष्टबाहु,,अष्टबाहु,
चौपेजी,,चौपेजी,
छिडक,,छिडक,
उन्हंे,,उन्हंे,
खरीदना,,खरीद,ना
कचूमर,,कचूमर,
स्वीकृत,,स्वीकृत,
घटबढ़,,घटबढ़,
औसत,,औसत,
यूसुफवंशियों,,यूसुफवंशी,ियों
शागिर्दों,,शागिर्द,ों
अर्द्धशीर्षी,,अर्द्धशीर्ष,ी
निष्णात,,निष्णात,
लेखनशैली,,लेखनशैली,
अर्थसंकट,,अर्थसंकट,
भविष्यद्वाणियों,,भविष्यद्वाणि,यों
कार्यकारी,,कार्यकारी,
वारतालाप,,वारतालाप,
फ़ंट,,फ़ंट,
बुना,,बुना,
प्रोग्रम,,प्रोग्रम,
बाँएँ,,बाँएँ,
दुचित्ता,,दुचित्ता,
अमलि,,अमलि,
सुनहरी,,सुनहरी,
असमान्यतः,,असमान्यतः,
अँखिया,,अँखिया,
अतिवाद,,अतिवाद,
पैमाना,,पैमाना,
वृक्षफूल,,वृक्षफूल,
मंुबई,,मंुबई,
सघोष,,सघोष,
मनासोन,,मनासोन,
प्रश्न,,प्रश्न,
आर्द्रता,,आर्द्र,ता
लरज़ता,,लरज़ता,
गजल,,गजल,
चहा,,चहा,
मैनिलकारा,,मैनिलकारा,
तिपरता,,तिपरता,
सुधरता,,सुधर,ता
ढल,,ढल,
आलोचकों,,आलोचक,ों
करदेय,,करदेय,
हारूपी,,हारूप,ी
पावं,,पावं,
पह्ली,,पह्ली,
ऑस्ट्रिया,,ऑस्ट्रिया,
भक्षय,,भक्षय,
भुजा,,भुजा,
ध्रुवों,,ध्रुव,ों
ार्थियों,,ार्थि,यों
खाखड़ा,,खाखड़ा,
मतो,,मत,ो
क्लोर्डाइज़ीपौक्साइड,,क्लोर्डाइज़ीपौक्साइड,
अनुगामी,,अनुगामी,
प्रमुखता,,प्रमुख,ता
पिनपिनाना,,पिनपिना,ना
निसर्गरम्य,,निसर्गरम्य,
युग्मक,,युग्मक,
क्रैंक,,क्रैंक,
एकाक्षरी,,एकाक्षर,ी
लड़कियों,,लड़की,ियों
शब्दाक्रमण,,शब्दाक्रमण,
स्विमिंग,,स्विमिंग,
फंसेगी,,फंस,ेगी
मरणांतक,,मरणांतक,
वैज्ञानिकों,,वैज्ञानिक,ों
फोड़ना,,फोड़,ना
चौथाई,,चौथा,ई
क्लायन्ट,,क्लायन्ट,
पूर्वसर्ग,,पूर्वसर्ग,
स्थानबद्ध,,स्थानबद्ध,
योग्बहा,,योग्बहा,
हटेगी,,हटेगी,
शरारती,,शरारत,ी
कुरेद,,कुरेद,
सुस्सजित,,सुस्सज,ित
चोथवसूली,,चोथवसूली,
फॉर्म,,फॉर्म,
बिन्दुमात्र,,बिन्दुमात्र,
बारुत,,बारुत,
खिडकी,,खिडकी,
धनुषाकारी,,धनुषाकार,ी
रजवंशी,,रजवंशी,
कालेब,,कालेब,
गैनिट,,गैनिट,
सिपाहगरी,,सिपाहगर,ी
अवबोध,,अवबोध,
सभागार,,सभागार,
अंतर्जलीय,,अंतर्जल,ीय
हटे,,हट,े
आसक्तिपूर्ण,,आसक्तिपूर्ण,
बढता,,बढ,ता
दबाऊंगा,,दबा,ऊंगा
बिम्हाल,,बिम्हाल,
नींद,,नींद,
रूफ़ुस,,रूफ़ुस,
दैववादी,,दैववाद,ी
बृहदांत्रशोथ,,बृहदांत्रशोथ,
तनख्वाह,,तनख्वाह,
उल्लू,,उल्लू,
एडिय़ां,,एडि,य़ां
मछलियाँ,,मछलि,याँ
वृद्ध,,वृद्ध,
शाहदरा,,शाहदरा,
अपहृत,,अपहृत,
परिलब्धि,,परिलब्ध,ि
कम्पित,,कम्पित,
ताया,,ताया,
उजड़ती,,उजड़,ती
परिवर्तनअ,,परिवर्तन,अ
कार्ड़बोर्ड़,,कार्ड़बोर्ड़,
खेत,,खेत,
शुक्लांश,,शुक्लांश,
अर्द,,अर्द,
मापकर,,मा,पकर
घँुघचियाँ,,घँुघचि,याँ
दुराचरण,,दुराचरण,
मूंगों,,मूंग,ों
समवयस्क,,समवयस्क,
सरज,,सरज,
ग़ायब,,ग़ायब,
संरक्षन,,संरक्षन,
माधुरी,,माधुरी,
अल्मारी,,अल्मारी,
मदिरापान,,मदिरापान,
ग्रेनोला,,ग्रेनोला,
हटूंगा,,हट,ूंगा
सविरामतः,,सविरामतः,
चंपत,,चंपत,
स्तंभलेखक,,स्तंभलेखक,
निकालूंगा,,निकाल,ूंगा
पारद,,पारद,
बैत,,बैत,
प्रतिविश्वास,,प्रतिविश्वास,
गिलाफ़,,गिलाफ़,
उत्पीड़न,,उत्पीड़न,
नेकनामी,,नेकनाम,ी
उच्चतद्रूप,,उच्चतद्रूप,
वैग,,वैग,
टंका,,टंका,
सातबारा,,सातबारा,
महाशय,,महाशय,
जेरेह,,जेरेह,
कडुवापन,,कडुवापन,
निर्गुट,,निर्गुट,
लीटर,,लीटर,
वापिका,,वापिका,
पार्श्वसड़क,,पार्श्वसड़क,
माकी,,माकी,
सदाचार,,सदाचार,
एदोम,,एदोम,
जकड़,,जकड़,
इब्रानी,,इब्रानी,
फलितार्थों,,फलितार्थों,
मेगा,,मेगा,
श्री,,श्री,
चारपाइ,,चारपाइ,
टैमरिंडस,,टैमरिंड,स
शूकर,,शूकर,
मुझी,,मुझ,ी
अलौकिक,,अलौक,िक
बीनता,,बीन,ता
मुस्कुराती,,मुस्कुरा,ती
नयनाभिराम,,नयनाभिराम,
शंका,,शंका,
शिरस्त्राण,,शिरस्त्राण,
घण्टाघर,,घण्टाघर,
वनक्षेत्र,,वनक्षेत्र,
वमनकारी,,वमनकारी,
जाँचें,,जाँच,ें
इनसान,,इनसान,
धुएँ,,धुएँ,
धूम्रकक्ष,,धूम्रकक्ष,
लचीली,,लचीली,
ढलावदार,,ढलावदार,
टुकडा,,टुक,डा
हटने,,हटने,
अवगाहन,,अवगाहन,
जात,,जात,
टाइपफेस,,टाइपफेस,
गमोरिया,,गमोरि,या
संसंजक,,संसंजक,
योशा,,योशा,
पोड़,,पोड़,
अतलै,,अतलै,
मानो,,मान,ो
झुठ,,झुठ,
करछुल,,करछुल,
अदूरदर्शिता,,अदूरदर्शि,ता
आरामदेह,,आरामदेह,
ओप्नी,,ओप्नी,
षडयंत्र,,षडयंत्र,
गिरजाघरों,,गिरजाघर,ों
कोंपलें,,कोंपल,ें
भेजता,,भेज,ता
जीका,,जीका,
तरंगिलता,,तरंगिल,ता
तक्षशिला,,तक्षशिला,
सामूहिकवाद,,सामूहिकवाद,
पाखंडी,,पाखंड,ी
अशकुन,,अशकुन,
बन्दोबस्त,,बन्दोबस्त,
उतारू,,उतार,ू
साँठ,,साँठ,
रौंदना,,रौंद,ना
दर्कनोन,,दर्कनोन,
सिकोड़ी,,सिकोड़,ी
हिब्बी,,हिब्बी,
दृढ़,,दृढ़,
मदिरा,,मदिरा,
थमी,,थम,ी
मछिप,,मछिप,
सादी,,सादी,
सदोक,,सदोक,
अन्नशोषण,,अन्नशोषण,
चूमूं,,चूमूं,
तुरंत,,तुरंत,
कैबीनेट,,कैबीनेट,
तिहाई,,तिहाई,
केदार,,केदार,
बबासीर,,बबासीर,
अनपेक्षित,,अनपेक्षित,
आशयसहित,,आशयसहित,
स्त्री०,,स्त्री०,
फंसाता,,फंसा,ता
इलेक्ट्रान,,इलेक्ट्रान,
यहूदीवाद,,यहूदीवाद,
मानवजाति,,मानवजाति,
इब्री,,इब्री,
कैलेन्डर्,,कैलेन्डर्,
पन्सारी,,पन्सारी,
किण्व,,किण्व,
चाँट,,चाँट,
जिनकी,,जिनकी,
चैताली,,चैताली,
रिरियाना,,रिरियाना,
बेकिंग,,बेकिंग,
परिदाण,,परिदाण,
खाजग्रस्त,,खाजग्रस्त,
मारिशस,,मारिशस,
फेलिक्स,,फेलिक्स,
दीवटों,,दीवट,ों
सीकचा,,सीकचा,
अनामी,,अनाम,ी
गुजरा,,गुजर,ा
दुःखदायी,,दुःखदायी,
गिर्गिट,,गिर्गिट,
अननुकूलित,,अननुकूलित,
निष्ठाहीन,,निष्ठाहीन,
अवसादन,,अवसादन,
सल्,,सल्,
रौंदो,,रौंद,ो
बारीह,,बारीह,
महनीय,,महनीय,
प्रमाणित,,प्रमाण,ित
मुलम्मा,,मुलम्मा,
सहयौगी,,सहयौग,ी
आपने,,आप,ने
विद्रुमा,,विद्रुमा,
डिब्ब,,डिब्ब,
खएडहर,,खएडहर,
वेव,,वेव,
टन्सिलाइटिस,,टन्सिलाइटिस,
सकाका,,सकाका,
सूंघते,,सूंघ,ते
पृच्छा,,पृच्छा,
तारों,,तार,ों
रेडियोधर्मी,,रेडियोधर्मी,
तेजोमय,,तेजोमय,
प्रगलन,,प्रगलन,
शम्बुक,,शम्बुक,
प्लैसेंटा,,प्लैसेंटा,
बदनाम,,बदनाम,
वाइकाउंटेस,,वाइकाउंटेस,
यक,,यक,
सप्ताहांत,,सप्ताहांत,
नतीजे,,नतीजा,े
सुग्गा,,सुग्गा,
आचमन,,आचमन,
किनारे,,किनार,े
करघे,,करघ,े
बढ़ो,,बढ़,ो
च्यूटियां,,च्यूटि,यां
फायरिंग,,फायर,िंग
चूषक,,चूषक,
लोपी,,लोप,ी
चुनौतियाँ,,चुनौति,याँ
विंबल्डन,,विंबल्डन,
रोज़ी,,रोज़,ी
विशेषग्यों,,विशेषग्य,ों
ध,,ध,
ज़नानखाना,,ज़नानखाना,
सरकंड़ों,,सरकंड़,ों
पहँुचते,,पहँुच,ते
सरगोशी,,सरगोशी,
इल्ज़ाम,,इल्ज़ाम,
अशिष्टता,,अशिष्ट,ता
अलभ्य,,अलभ्य,
मचा,,मच,ा
चढ़ाना,,चढ़ा,ना
चराएगा,,चर,ाएगा
कींच्ना,,कींच्ना,
रिद्धी,,रिद्धी,
हकीम,,हकीम,
पूर्वजानुरूप,,पूर्वजानुरूप,
नज़्दीकी,,नज़्दीक,ी
ठहराऊॅगा,,ठहर,ाऊॅगा
