ऐश्वर्यहीन,,ऐश्वर्य,हीन
आइरिस,,आइरिस,
बिल,,बिल,
उल्ल्,,उल्ल्,
प्लेयर,,प्लेयर,
कौड़ी,,कौड़ी,
साँया,,साँया,
असैनिक,अ,सैनिक,
पातक,,पातक,
कर्मठता,,कर्मठ,ता
नगरी,,नगर,ी
शोषक,,शोषक,
मुर्झाना,,मुर्झा,ना
सेटलाइट,,सेटलाइट,
ज़िरौक्स,,ज़िरौक्स,
श्रेणीबध्द,,श्रेणीबध्द,
केन्या,,केन्या,
वैधव्य,,वैधव्य,
त्रस्‍त,,त्रस्‍त,
अतल,अ,तल,
परेशान,,परेशान,
नशाबन्दी,,नशा,बन्दी
पथ्थर,,पथ्थर,
प्रभावात्मक,,प्रभावात्मक,
करण,,करण,
चिंताजनकता,,चिंताजनक,ता
तह,,तह,
चिल्ला,,चिल्ला,
जलथली,,जलथल,ी
स्थावर,,स्थावर,
क्रंच,,क्रंच,
निष्ठुर,,निष्ठुर,
बेपरवाही,,बेपरवाह,ी
नामावाली,,नामा,वाली
स्टेनोग्राफ़ी,,स्टेनोग्राफ़ी,
योनिमुख,,योनिमुख,
पिटा,,पिट,ा
संग्रहण,सं,ग्रहण,
जन्मपूर्व,,जन्म,पूर्व
बैटरी,,बैटरी,
आलेखक,आ,लेखक,
कैंडी,,कैंडी,
जंक,,जंक,
कड़ुआ,,कड़ुआ,
ब्याना,,ब्याना,
विसूचिका,व,िसूचिका,
नतीज़े,,नतीज़े,
बीबी,,बीबी,
खाल्,,खाल्,
गमला,,गमला,
श्रृंगार,,श्रृंगार,
समुह,,समुह,
भट्ठा,,भट्ठा,
इनका,,इनका,
अज्जा,,अज्जा,
अपरीक्षणीय,अ,परीक्षण,ीय
बसाएं,,बसा,एं
खोलती,,खोल,ती
भनक,,भनक,
सैकड़ों,,सैकड़ों,
झगड़ालू,,झगड़ा,लू
उत्कटतापूर्वक,,उत्कटता,पूर्वक
देवियों,,देवि,यों
चापलूसी,,चापलूस,ी
विडम्बना,,विडम्बना,
पोसे,,पोसे,
बालचारिका,,बालचारिका,
अनुबन्धित,अनु,बन्धित,
बिस्खोपरा,,बिस्खोपरा,
आवृत,,आवृत,
कन,,कन,
निर्लाभ,निर्,लाभ,
युद्धाश्व,,युद्धाश्व,
मल्टीमीडिया,,मल्टीमीडिया,
फरजंद,,फरजंद,
ज्यांग,,ज्यांग,
बरसना,,बरस,ना
सुरुचि,सु,रुचि,
इंटरैक्टिव,,इंटरैक्टिव,
अनुसरणकर्ता,,अनुसरण,कर्ता
ट्राइफ़ोलियम,,ट्राइफ़ोलियम,
चूमने,,चूम,ने
रेलगाड़ी,,रेलगाड़ी,
मचान,,मचान,
श्रदांजली,,श्रदांजली,
अयोग्य,अ,योग्य,
विश्रामस्थान,,विश्रामस्थान,
बर्जिल्लै,,बर्जिल्लै,
लुटिया,,लुटिया,
लुटे,,लुट,े
कृतिमता,,कृतिम,ता
खुदकी,,खुदकी,
रिक्त्,,रिक्त्,
सिपुर्द,,सिपुर्द,
जनसामान्य,,जनसामान्य,
लटकने,,लटक,ने
सिकुन्दुस,,सिकुन्दुस,
सृष्‍टिकर्ता,,सृष्‍टि,कर्ता
रुढिवादी,,रुढिवाद,ी
मूड,,मूड,
हुण्डी,,हुण्डी,
नायब,,नायब,
मोहजाल,,मोहजाल,
तोलक,,तोलक,
ंगत,,ंगत,
रैन,,रैन,
हरिजन,,हरिजन,
पहरुओं,,पहरु,ओं
सैलमी,,सैलमी,
बिक्री,,बिक्री,
समापवर्त्य,,समापवर्त्य,
समावेश,,समावेश,
खिलाड़ियों,,खिलाड़ि,यों
शामत,,शामत,
शीर्षकों,,शीर्षक,ों
संकल्पित,,संकल्पित,
मुलाकात,,मुलाकात,
उरवीक्ष,,उरवीक्ष,
कवायद,,कवायद,
हेडमास्टर,,हेडमास्टर,
छपछपाते,,छपछपा,ते
कोरहवंशी,,कोरहवंशी,
मरोड़ता,,मरोड़,ता
सांठ,,सांठ,
स्त्रापित,,स्त्रापित,
मेहरबानी,,मेहरबान,ी
प्रलापी,,प्रलाप,ी
सेलर,,सेलर,
अस्वरूपी,अ,स्वरूप,ी
बहिःस्त्राव,बहिः,स्त्राव,
असमाधेय,अ,समाधेय,
रैप,,रैप,
रंज,,रंज,
प्रतिनिधित्व,,प्रतिनिधि,त्व
अमिश्रणीय,अ,मिश्रण,ीय
जर्जर,,जर्जर,
धड़कने,,धड़कन,े
बताए,,बता,ए
निरुपण,,निरुपण,
अविश्वस्त,अ,विश्वस्त,
उत्पीड़ित,,उत्पीड़ित,
छेदन,,छेदन,
पुनर्निरीक्षण,पुनर्,निरीक्षण,
फ़ैदरवेट,,फ़ैदरवेट,
शोवक,,शोवक,
भ्रांतिकारी,,भ्रांतिकार,ी
अरूपांतरित,अ,रूपांतर,ित
गरज्,,गरज्,
लकड़ियाँ,,लकड़ि,याँ
मौका,,मौका,
उंडेलकर,,उंडेल,कर
शीतल,,शीतल,
भग्नावशेष,,भग्नावशेष,
धंधे,,धंधे,
जाला,,जाला,
कुंतल,,कुंतल,
बटे,,बट,े
बेटियो,,बेटि,यो
हाँ,,हाँ,
आई,,आई,
किराएदार,,किराए,दार
भजनों,,भजन,ों
एकपक्षीयता,,एकपक्षीय,ता
चोबीसों,,चोबीस,ों
परमप्रधान,,परमप्रधान,
जानकर,,जान,कर
एपिट्रोकइडल,,एपिट्रोकइडल,
जीवशाला,,जीवशाला,
कर्क,,कर्क,
अंगीय,,अंग,ीय
कार्यावधि,,कार्यावधि,
चढ़,,चढ़,
युग्मतारा,,युग्मतारा,
सलटाना,,सलटा,ना
गरूई,,गरूई,
बिकेगा,,बिकेगा,
पुत्रीवत,,पुत्री,वत
पीया,,पीया,
समानुपाती,,समानुपात,ी
कुदाना,,कुदा,ना
गद्यात्मक,,गद्यात्मक,
मिस्त्रीखाना,,मिस्त्रीखाना,
शोधना,,शोध,ना
जन्तर,,जन्तर,
बही,,बह,ी
पर्ष,,पर्ष,
निश्चितता,,निश्चित,ता
मि,,मि,
औदात्य,,औदात्य,
साङ्ख्यिकी,,साङ्ख्यिक,ी
शिम्रित,,शिम्रित,
चिट्रण,,चिट्रण,
ओपोर,,ओपोर,
अशुद्धियाँ,अ,शुद्धि,याँ
कंकड़,,कंकड़,
वृक्षाच्छादित,,वृक्षाच्छादित,
पाया,,पाया,
विपलता,,विपलता,
उद्दंडतापूर्ण,,उद्दंडता,पूर्ण
एब्रोकोम,,एब्रोकोम,
वांगमय,,वांगमय,
चित्रांकन,,चित्रांकन,
पोंछता,,पोंछ,ता
बिताते,,बिता,ते
सहन,,सहन,
अड़,,अड़,
यन्ना,,यन्ना,
मटमैले,,मटमैले,
झोला,,झोला,
सुधारकों,,सुधारक,ों
खिझाऊ,,खिझा,ऊ
अकीर्ति,अ,कीर्ति,
टायरों,,टायर,ों
आज्ञाभंग,,आज्ञाभंग,
स्वयंसेवा,,स्वयंसेवा,
औचित्य,,औचित्य,
कातकर,,कातकर,
मालीक,,मालीक,
भूमापन,,भूमापन,
अनुत्तीर्ण,अन,उत्तीर्ण,
करमचंद,,करमचंद,
स्काटलैंड्,,स्काटलैंड्,
उपस्‍थिति,,उपस्‍थित,ि
आलम,,आलम,
कष्टकर्ता,,कष्ट,कर्ता
निश्चयपूर्वक,,निश्चय,पूर्वक
वायरिंग,,वायरिंग,
बकबकिया,,बकबकिया,
तीर्थस्थल,,तीर्थस्थल,
प्रग्रहण,प,्रग्रहण,
छूमंतर,,छूमंतर,
हरसिंगार,,हरसिंगार,
जलतरण,,जलतरण,
शाध्वल,,शाध्वल,
इत्तफाक,,इत्तफाक,
वाद्यवृंद,,वाद्यवृंद,
निर्णयन,,निर्णयन,
बिहार,,बिहार,
वैभव,,वैभव,
फिल्माना,,फिल्म,ाना
मृत्युदण्ड,,मृत्युदण्ड,
गिनीज,,गिनीज,
अकड़कर,,अकड़,कर
माँगपत्र,,माँगपत्र,
